EntryID,Source,Year,Month,Day,Asking Price,Real Price,Street,No,Street2,No2,Size,Revenu,brut,net,Price,SalesPrice,yield,yields,Charges,CreditF,Credit,Annuite,CreditFonc,InitMiseAPrix,Comment,Type,"Date 
Completed"
412,Figaro,1882,7,3,0,0,Rue Neufchateau,3,,,150.1,7684,1,,60000,,0.128066667,,,0,,,0,,,,India
413,Figaro,1882,7,3,0,0,Boulevard Voltaire,152,,,206.1,16090,1,,200000,,0.08045,,,0,,,0,,,,India
414,Figaro,1882,7,7,0,0,Rue de Flandre,152,,,1140,14775,1,,80000,,0.1846875,,,0,,,0,,,,India
415,Figaro,1882,7,8,0,0,Rue Lacaille,4,,,,14360,0,,190000,,0.075578947,,,0,,,0,,,,India
416,Figaro,1882,7,11,0,0,Rue d'Enghien,53,,,,8720,0,,100000,,0.0872,,,0,,,0,,,,India
417,Figaro,1882,7,15,0,0,Villa du Bel-Air,11,,,,2554,0,,45000,,0.056755556,,,0,,,0,,,,India
418,Figaro,1882,7,15,0,0,Rue de Chaligny,24,Boulevard Diderot,88,,8518,0,,80000,,0.106475,,,0,,,0,,,,India
419,Figaro,1882,7,16,0,0,Rue Veron,15,,,,5975,1,,50000,,0.1195,,,0,,,0,,,,India
420,Figaro,1882,7,18,0,0,Rues de Bercy,44,de Dijon,1,323,20200,1,,275000,,0.073454545,,,0,,,0,,,,India
421,Figaro,1882,7,18,0,0,Avenue d'Orleans,110,,,,16700,1,,130000,,0.128461538,,,0,,,0,,,,India
422,Figaro,1882,7,18,0,0,Rue de la Glaciere,194,,,,3500,1,,35000,,0.1,,,0,,,0,,,,India
423,Figaro,1882,7,18,0,0,Rue de la Glaciere,175_177_179,,,,1000,1,,12000,,0.083333333,,,0,,,0,,,,India
424,Figaro,1882,7,18,0,0,Rue d'Assas,116,,,,7900,1,,80000,,0.09875,,,0,,,0,,,,India
425,Figaro,1882,7,19,0,0,Rue Meslay,3,,,,12238,0,,150000,,0.081586667,,,0,,,0,,,,India
426,Figaro,1882,7,19,0,0,Avenue de Clichy,91,,,1031,23600,0,,100000,,0.236,,,0,,,0,,,,India
427,Figaro,1882,7,21,0,0,Rue Croix-Nivert,112,,,,1280,0,,8000,,0.16,,,0,,,0,,,,India
428,Figaro,1882,7,26,0,0,Rue Burq,17,,,,24805,1,,260000,,0.095403846,,,0,,,0,,,,India
429,Figaro,1882,7,26,0,0,Rue Lepic,92,,,,1960,1,,15000,,0.130666667,,,0,,,0,,,,India
430,Figaro,1882,7,26,0,0,Rue Durantin,24,,,,11400,1,,60000,,0.19,,,0,,,0,,,,India
431,Figaro,1882,7,26,0,0,Rue Durantin,25,,,,7250,1,,40000,,0.18125,,,0,,,0,,,,India
432,Figaro,1882,7,30,0,0,Rue du Parc-Royal,6,,,,2525,1,,25250,,0.1,,,0,,,0,,,,India
433,Figaro,1882,8,1,0,0,Rue des Amandiers,65_67,,,1093,8280,0,,120000,,0.069,,,0,,,0,,,,India
434,Figaro,1882,8,3,0,0,Rue du Fe-Saint-Antoine,3,,,,12485,1,,120000,,0.104041667,,,0,,,0,,,,India
435,Figaro,1882,8,7,0,0,Rue Monsieur-le-Prince,14,,,480.24,37000,1,,400000,,0.0925,,,0,,,0,,,,India
436,Figaro,1882,8,7,0,0,Rue Casimir-Delavigne,1,,,215.45,16000,1,,150000,,0.106666667,,,0,,,0,,,,India
437,Figaro,1882,8,10,0,0,Rue du Faubourg-Saint-Antoine,198,,,,3930,0,,30000,,0.131,,,0,,,0,,,,India
438,Figaro,1882,8,12,0,0,Rue Censier,6,,,,8400,1,,100000,,0.084,,,0,,,0,,,,India
439,Figaro,1882,8,12,0,0,Rue d'Alleray,84_86_88_90,,,,8000,1,,100000,,0.08,,,0,,,0,,,,India
440,Figaro,1882,8,18,0,0,Rue de la Plaine,20,,,,900,0,,8000,,0.1125,,,0,,,0,,,,India
441,Figaro,1882,9,5,0,0,Rue Levis,41,,,,8205,0,,100000,,0.08205,,,0,,,0,,,,India
442,Figaro,1882,9,13,0,0,Avenue de Choisy,61,Rue Caillaux,2,566,3500,1,,25000,,0.14,,,0,,,0,,,,India
443,Figaro,1882,10,3,0,0,Rue Poulet,32,,,238.13,10090,1,,140000,,0.072071429,,,0,,,0,,,,India
444,Figaro,1882,10,4,0,0,Rue Chomel,6,,,,26610,0,,390000,,0.068230769,,,0,,,0,,,,India
445,Figaro,1882,10,11,0,0,Avenue d'Antin,3,Rue Francois Ier,4,729,48500,0,,800000,,0.060625,,,0,,,0,,,,India
446,Figaro,1882,10,16,0,0,Rue Pierre Levee,8,,,,6400,0,,120000,,0.053333333,,,0,,,0,,,,India
447,Figaro,1882,10,16,0,0,Rue Morand,22,,,,5000,0,,50000,,0.1,,,0,,,0,,,,India
448,Figaro,1882,10,21,0,0,Rue Lafayette,51,,,,27200,1,,300000,,0.090666667,,,0,0,,0,,,,India
449,Figaro,1882,10,23,0,0,Rue Rollin,12,,,325,10265,0,,140000,,0.073321429,,,0,0,,0,,,,India
450,Figaro,1882,10,26,0,0,Rue de Provence,19,,,,21940,0,,260000,,0.084384615,,,0,,,0,,,,India
451,Figaro,1882,10,26,0,0,Rue Meslay,5,,,232.24,13540,0,,150000,,0.090266667,,,0,,,0,,,,India
452,Figaro,1882,10,27,0,0,Rue de Chabrol,34,,,,20234,1,,220000,,0.091972727,,,0,,,0,,,,India
453,Figaro,1882,10,28,0,0,Avenue Daumesnil,40,,,,15380,1,,130000,,0.118307692,,,0,,,0,,,,India
454,Figaro,1882,10,29,0,0,Rue de la Reynie,13,,,,4500,0,,60000,,0.075,,,0,,,0,,,,India
